id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1401,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",To Be Discontinued,Renal,Solution,Vantive US Healthcare LLC,08/03/2026,DIANEAL LOW CALCIUM WITH DEXTROSE,INTRAPERITONEAL
1402,Peritoneal Dialysis Solution,To Be Discontinued,Renal,Solution,Fresenius Medical Care North America,03/10/2026,DELFLEX,INTRAPERITONEAL
1403,Furosemide Injection,Current,Cardiovascular,Injection,"Fresenius Kabi USA, LLC",04/07/2020,FUROSEMIDE,"INTRAMUSCULAR, INTRAVENOUS"
1404,Amino Acid Injection,Current,Gastroenterology,Injection,Baxter Healthcare,12/08/2020,PREMASOL - SULFITE-FREE (AMINO ACID),INTRAVENOUS
1405,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Otsuka ICU Medical LLC,02/14/2022,DEXTROSE,INTRAVENOUS
1406,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,InfoRLife SA,03/27/2018,ROPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION"
1407,Lidocaine Hydrochloride Injection,Current,"Anesthesia, Pediatric",Injection,Anthea Pharma,02/22/2012,LIDOCAINE HYDROCHLORIDE,"INFILTRATION, PERINEURAL"
1408,Carboplatin Injection,Current,Oncology,Injection,Gland Pharma Limited,04/28/2023,CARBOPLATIN,INTRAVENOUS
1410,Heparin Sodium Injection,Current,Hematology,Injection,"Fresenius Kabi USA, LLC",11/14/2017,HEPARIN SODIUM,INTRAVENOUS
1411,Bumetanide Injection,Current,Cardiovascular,Injection,MSN Laboratories Private Limited,12/13/2017,BUMETANIDE,"INTRAMUSCULAR, INTRAVENOUS"
1412,Diltiazem Hydrochloride Injection,To Be Discontinued,Cardiovascular,Injection,"Hospira, Inc., a Pfizer Company",01/05/2026,DILTIAZEM HYDROCHLORIDE,INTRAVENOUS
1413,Adalimumab-adaz Injection,To Be Discontinued,Rheumatology,Injection,Sandoz Inc.,01/13/2026,HYRIMOZ,SUBCUTANEOUS
1414,Lidocaine Hydrochloride Injection,Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",02/22/2012,XYLOCAINE,"INFILTRATION, PERINEURAL"
